sujet;checked_text;opinion
NON AUX DEROGATIONS, le 15 novembre 2023 à 21h35;NON AUX DÉROGATIONS. Au vu de l’avis défavorable du CNPN à propos du bilan du Plan National Loups NOMBRE - NOMBRE , qui a été rendu en juillet NOMBRE et qui relève l’absence de réel bilan avec indicateurs pour procéder à une véritable évaluation…et sachant que le loup est strictement protégé au niveau européen ( dans la convention de Berne relative à la vie sauvage et à la conservation des milieux naturels de l’Europe et dans la directive Habitats Faune Flore) il me semble évident de ne pas accorder de dérogations aux interdictions de destructions de loups Ce sujet n’a pas lieu d’être sauf si l’on veut anéantir le monde sauvage et sa biodiversité;Défavorable
La gestion du loup ne va pas dans la bonne direction avec cet arrêté, le 15 novembre 2023 à 10h07;"La gestion du loup ne va pas dans la bonne direction avec cet arrêté. Le loup est déjà la seule espèce en France qui peut être ""détruite"" via des dérogations d’espèces protégées toute l’année, quelle que soit son écologie, si les femelles sont gestantes ou allaitantes, je ne comprends pas qu’on veuille aller plus loin dans sa gestion au lieu de réellement protéger cette espèce qui peut, par des moyens adéquats, vivre en interaction avec les activités humaines comme l’élevage sans problème. Ce projet d’arrêté me semble donner trop de pouvoir aux préfets pour détruire le loup et trop de latitude pour accorder des SEP.";Défavorable
Contre ces nouvelles dérogations , le 15 novembre 2023 à 11h31;Contre ces nouvelles dérogations . Que les éleveurs travaillent avec des chiens et ne laissent pas les brebis seules. Bizarrement, à l’époque où il n’y avait pas d’aides de l’Europe il y avait moins de brebis dévorées… Bref, travaillons comme le faisaient nos ancêtres et nous n’aurons pas de problème avec le loup. A trop vouloir empiéter sur les terres des autres animaux, c’est l’humain qui finit par tout détruire. Ne peut on pas vivre tous ensemble en se respectant ? Et je vois arriver d’ici quelques mois années les alertes pour sauvegarder le loup qui finalement se retrouve en sous effectif. La vie n’est qu’un éternel recommencement, dommage que ce soit la faune et la flore qui en pâtissent tout ça pour favoriser encore une fois l’élevage intensif.;Défavorable
avis favorable, le 15 novembre 2023 à 14h39;avis favorable. avis favorable pour les dispositions de cet arrêté encadrant les autorisations de destruction qui se justifient au regard de l’impact de certains individus sur les activités humaines et les populations. L’espèce s’est fortement développée (en nombre et en territoires recolonisés) au niveau européen et son statut doit évoluer en cohérence.;Favorable
Avis défavorable à cet arrêté injustifié, le 15 novembre 2023 à 17h01;"Avis défavorable à cet arrêté injustifié. Le loup a un rôle écologique important et son retour dans les forêts françaises doit être perçu comme une chance pour la préservation de la biodiversité. Pourtant la France applique déjà une politique de régulation sévère vis-à-vis de cette espèce ( NOMBRE à NOMBRE de la population de loups pouvant être abattus chaque année) au mépris des avis scientifiques alarmants et défavorables. Par ailleurs, le gouvernement français alloue des budgets colossaux à la protection des troupeaux et à l’indemnisation des éleveurs en cas d’attaques sur leurs troupeaux, sans s’assurer d’une part que les troupeaux attaqués sont effectivement protégés par les moyens de prévention subventionnés, et d’autre part que les dommages déclarés sont réellement dus à des attaques de loups. Avant d’estimer que la présence du loup constitue une menace nécessitant un nouvel assouplissement des autorisations de tirs, la Fondation Brigitte Bardot appelle le gouvernement français à appliquer la réglementation européenne en vigueur (directive Habitats) pour préserver cette espèce menacée tout en protégeant les troupeaux avec des moyens efficaces et contrôlés. La Fondation Brigitte Bardot s’oppose à ce projet d’arrêté car il vise notamment : - A accorder des autorisations de tir de défense limitées dans le temps mais qui ne s’éteignent pas une fois le loup tué (donc des autorisations de tir non limitée quantitativement) ; - A accorder l’autorisation à NOMBRE tireurs (et non un seul comme actuellement, ce qui multiplie les possibilités de tirs) ; - A accorder des autorisations de tir à partir de NOMBRE bêtes tuées sur un an, ce qui va à l’encontre de la notion de dommage important, qui s’applique normalement pour déroger à la protection du loup ; - à reconnaître des zones non protégeable, ce qui permettrait de recourir au tir létal sans avoir à justifier des mesures de protection des troupeaux légalement requises. La Fondation Brigitte Bardot s’associe donc totalement aux conclusions du CNPN précisant qu’« Il n’y a en conséquence plus aucun dispositif de gradation réelle des tirs létaux, qui peuvent plus vite évoluer en tirs de défense auparavant qualifiée de « renforcée ». La suspension de l’autorisation dès lors qu’un loup a été tué ou blessé ne figure plus dans le texte proposé. Comme évoqué plus haut, il y a là un risque de multiplication des destructions sous couvert de la même autorisation initiale. Tous ces facteurs combinés ont pour conséquence d’augmenter la réalisation des tirs létaux et, par là même, présentent un risque pour la conservation de la population de loup. » La FBI rappelle également l’avis défavorable du CNPN à propos du bilan du Plan National Loups NOMBRE - NOMBRE , qui a été rendu en juillet NOMBRE et qui relève l’absence de réel bilan avec indicateurs pour procéder à une véritable évaluation… Cette politique de régulation du loup, favorisée par un assouplissement des conditions de recours au tirs létaux, ne se base sur aucun élément chiffré et aucun retour d’expérience et va à l’encontre de la réglementation européenne. D’autant plus que les contrôles de terrain concernant la mise en place des moyens de protection, condition pourtant essentielle à l’autorisation des tirs létaux, sont extrêmement faibles ( NOMBRE sur la période NOMBRE - NOMBRE dont NOMBRE , NOMBRE non conformes, NOMBRE en NOMBRE ) et que le système d’indemnisation français, basé sur l’auto-déclaration est très généreux. Pour l’ensemble de ces raisons, la Fondation Brigitte Bardot appelle le gouvernement à abandonner ce projet d’arrêté et à réaliser dès à présent dans une évaluation sérieuse et chiffrée du plan loup NOMBRE - NOMBRE afin de mettre en œuvre des mesures favorisant la coexistence entre troupeaux et loups en se fondant sur des données scientifiques et des expérimentations respectueuses de la protection des espèces.";Défavorable
loup, le 15 novembre 2023 à 18h05;loup. le loup doit vivre et se nourrir en groupe, si il attaque les troupeaux c est que le groupe a était réduit donc insuffisant pour chasser le gibier sauvage , voila ou on va encore accélérer les attaques de troupeaux;Défavorable
Avis favorable au projet d’arrêté, le 15 novembre 2023 à 18h35;Avis favorable au projet d’arrêté. La dynamique d’expansion du loup doit être contrôlé, ce n’est pas une espèce en péril ( voir les chiffres de population au niveau européen) loin de là. Je trouve le texte de l’administration comme un juste équilibre entre le maintien d’une population pérenne ( entre NOMBRE et NOMBRE loups ), la protection des troupeaux et des autres usagers de la nature.;Favorable
Avis défavorable à cet arrêté, le 15 novembre 2023 à 19h15;Avis défavorable à cet arrêté. Le loup a un rôle écologique important et son retour dans les forêts françaises est une chance pour la préservation de la biodiversité. La France applique déjà une politique sévère de régulation vis-à-vis du loup et d’autres animaux sauvages. Si dérogation il y a, les tirs doivent être confiés à des employés de l’État et non à des bandes d’amateurs prêts à exterminer tout animal sauvage considéré comme nuisible.;Défavorable
Avis défavorable argumenté, le 15 novembre 2023 à 19h30;"Avis défavorable argumenté. Au plan formel, je tiens à souligner que, comme il est écrit dans le préambule juridique des attendus, ""Le loup est une espèce strictement protégée au niveau international et européen"". Si je me réfère simplement au dictionnaire Larousse, l’adverbe ""strictement "" marque une ""une manière totale, absolue"". Tout ce qui suit relève donc d’un détournement de sens. Au plan pratique, le tir de loups suite à des attaques contribue à désorganiser les meutes et empêche toute transmission d’information au sein de ces meutes. Le loup a survécu en Europe car il a su apprendre de ses erreurs : aujourd’hui, prendre une décharge électrique, se faire mordre par un chien de troupeau peut conduire les loups à éviter les animaux domestiques. C’est ce type de moyens dissuasifs associés à des moyens de protection et de gardiennage qui doit prévaloir sur les destructions.";Défavorable
Dérogations aux interdiction de destruction des loups, le 15 novembre 2023 à 19h38;Dérogations aux interdiction de destruction des loups. La seule méthode efficace pour que les loups redeviennent une espèce sauvage c’est de les chasser avec des chiens spécialisés afin de leurs donner la peur des hommes et des chiens sinon on va tout droit à une catastrophe écologique qui commence déjà à exister dans certains départements. Il va falloir frapper vite et fort avant le déclin et la disparition de nombreuses autres espèces prédatées par le loup.;Indéterminé
